0,6.37E-248
0.01,3.93E-12
0.02,9.71E-12
0.03,1.82E-11
0.04,3.07E-11
0.05,4.90E-11
0.06,7.61E-11
0.07,1.16E-10
0.08,1.74E-10
0.09,2.60E-10
0.1,3.87E-10
0.11,5.74E-10
0.12,8.48E-10
0.13,1.25E-09
0.14,1.85E-09
0.15,2.72E-09
0.16,4.01E-09
0.17,5.91E-09
0.18,8.70E-09
0.19,1.28E-08
0.2,1.89E-08
0.21,2.78E-08
0.22,4.09E-08
0.23,6.02E-08
0.24,8.86E-08
0.25,1.30E-07
0.26,1.92E-07
0.27,2.83E-07
0.28,4.16E-07
0.29,6.12E-07
0.3,9.02E-07
0.31,1.33E-06
0.32,1.95E-06
0.33,2.88E-06
0.34,4.23E-06
0.35,6.23E-06
0.36,9.17E-06
0.37,1.35E-05
0.38,1.99E-05
0.39,2.93E-05
0.4,4.31E-05
0.41,6.34E-05
0.42,9.33E-05
0.43,0.000137291
0.44,0.000202041
0.45,0.000297291
0.46,0.000437364
0.47,0.000643261
0.48,0.000945708
0.49,0.00138955
0.5,0.00203994
0.51,0.00299104
0.52,0.00437769
0.53,0.0063906
0.54,0.00929474
0.55,0.0134489
0.56,0.0193219
0.57,0.0274964
0.58,0.03865
0.59,0.0535029
0.6,0.0727341
0.61,0.0968856
0.62,0.126285
0.63,0.161015
0.64,0.200935
0.65,0.245738
0.66,0.295018
0.67,0.348325
0.68,0.405215
0.69,0.465268
0.7,0.528105
